佚名	多锉出快锯，多做长知识。
佚名	未来总留着什么给对它抱有信心的人。
谚语	一个人的智慧不够用，两个人的智慧用不完。
傣族	十个指头按不住十个跳蚤
墨子	言不信者，行不果。
柳宗元	攀援而登，箕踞而遨，则几数州之土壤，皆在衽席之下。
帕利克	美德大都包含在良好的习惯之内。
《晋书》	人有不及，可以情恕。
法不传六耳	明·吴惟顺
奥斯特洛夫斯基	真正的朋友应该说真话，不管那话多么尖锐。
德奥弗拉斯多	时间是一切财富中最宝贵的财富。
民谚	看人下菜碟
拉罗什福科	如果不是怕别人反感，女人决不会保持完整的严肃。
佚名	爱是春暖花开时对你满满的笑意
罗素	希望是坚韧的拐杖，忍耐是旅行袋，携带它们，人可以登上永恒之旅。
佚名	如果你们已经在一起了，就要去努力的相信对方，不要因为一件小事就去胡乱猜疑，那样一点好处都没有，也是你对你自己不自信的一种表现，反而会让对方对你逐渐失去信心。
（前苏联）苏霍姆林斯基	真正的教育者不仅传授真理，而且向自己的学生传授对待真理的态度，激发他们对于善良事物受到鼓舞和钦佩的情感，对于邪恶事物的不可容忍的态度。
佚名	天国般的幸福，存在于对真爱的希望。
马克思	我们现在必须完全保持党的纪律，否则一切都会陷入污泥中。
马克思	在科学上没有平坦的大道，只有不畏劳苦沿着陡峭山路攀登的人，才有希望达到光辉的顶点。
蒙古	懒惰的马嫌路远
非洲	别忘记热水是由冷水烧成的
李塨	农，助天地以生衣食者。
（周）姬旦	民之所欲，天必从之。
享利·凡·戴克	要对生命感到喜悦，因为它给了你去爱的机会，去工作，去玩乐，并用能仰头看星星的机会。
苏格拉底	美色不常驻。
梭洛	德行善举是惟一不败的投资。
赫塞	有勇气承担命运，这才是英雄好汉
伏契克	英雄就是这样一个人，他在决定性关头做了为人类社会的利益所需要的事
车尔尼雪夫斯基	实践是思想的真理。
国语	通天下一气耳
民谚	颠狂的马，往往是容易闪失；慌张的人，时常会出乱子
爱献生	在科学里，嘲笑腐儒，也就类似宗教里的嘲笑迷信
民谚	石头虽小垒成山，羊毛细织成毯
毛泽东	天下者，得之艰难，则失之不易；
季米里亚席夫	对于科学，敌人比朋友还多
莎士比亚	思想——自由的精灵。
阿尔巴尼亚	狐狸一念经，快赶饿入笼
斯特林堡	生活的目的究竟是什么？是生活本身！除把生命维持到死以处不会再有其他任务。人因此而获得维持生命的力量。
佚名	莫在记忆的深井中打捞冰冻的遗憾，快去认识的坑道里采气青春的热源。
屠格涅夫	科学的全部目的，就是有意识地取得大自然无代价的赋予青春的一切
民谚	调和怒时气，谨慎喜中言，斟酌醉后酒，爱惜有时钱
海明威	事非经过不知难
民谚	一朝权在手，谁敢不低头
塞内加	我可以明确地告诉你，许多人并未因此罪恶而受以，相反，还因此得到好处
马可·奥勒留	你的心也许会破碎，但人们却依旧会像从前一样生活
佚名	人是房子，朋友就是窗子，夏送凉风，冬送阳光。
培根	得不到友谊的人将是终身可怜的孤独者。没有友情的社会则只是一片繁华的沙漠。
张九龄	相知无远近，万里尚为邻。
佚名	你可以选择这样的“三心二意”：信心、恒心、决心；创意、乐意。
罗曼·罗兰	你们这些生在今日的人，你们这些青年，现在要轮到你们了！踏实在我们的身体上面向前吧。但愿你们比我们更伟大、更幸福。
桑弗	真正的朋友有三种：爱你的朋友，忘你的朋友，恨你的朋友。
《礼记·儒行》	见利不亏其义，见死不更其守。
穆尼尔·纳素夫	生活中，谅解可以产生奇迹，谅解可以挽回感情上的损失，谅解犹如一个火把，能照亮由焦躁、怨恨和复仇心理铺就的道路。
埃斯库罗斯	人不应该有高傲之心，高傲会开花，结成破灭之果。在收获的季节，会得到止不住的眼泪。
乔·爱德华兹	神圣之物不但手不可去玷污，而且
韩非子	宰相之耳，待天下之心识而后能发
彼得·波特	在宇宙的中心，回响着那个坚定神秘的音符：“我”
吕氏春秋	私视使目盲，私听使耳聋，私虑使心狂
唐·杜荀鹤	言论关时务，篇章见国风
乔叟	酒杯中可见天堂，但纵情狂饮只能
萨迪	温和、谦逊、多礼的言行，有时能使人回心转意。
培根	同情是一切道德中最高的美德。
《上书谏吴王》	欲人不闻，莫若不言；欲人不知，莫若不为。出自：汉·枚乘《上书谏吴王》 想要人不知道，最好是自己不说，自己不做。
明·文嘉	今日复今日，今日何其少！今日又不为，此事何时了？人生百年几今日，今日不为真可惜！若言姑待明朝至，明朝又有明朝事。为君聊赋《今日》诗，努力请从今日始！
德国	理智时常纠正感情的过于匆促的判断
高尔基	我扑到书籍上，就像饥饿的人扑在面包上。
英国	自由过了头，一切乱了套
欧洲	使事业成为愉快的事情，使愉快的事情成为事业
詹姆斯·格兰德	批评不是一个趣味的问题，而且是一个谁的趣味的问题
康德	良心是一种根据道德准则来判断自己的本能，它不只是一种能力；它是一种本能。
司马迁	规小节者不能成荣名，恶小耻者不能立大功。
甘必大	不善思索的有才能的人，必定以悲剧收场。
麦考莱	美貌是上帝的赠礼，但能炫耀美貌
蒙古族	枯干的果树上，莫想摘取大甜梨；贪图私利的人，莫想做出好成绩
杰拉尔德·李	僵化的绝非机器，而是头脑机械的人
民谚	是龙到处行雨
民谚	生死之交，其贵无比
杜特斯	仁慈和正义是并辔齐驱的
赫尔岑	科学不是可以不劳而获的，诚然，在科学上除了汗流满面是没有其他获得成功的方法的；热情也罢，幻想也罢，以整个身心去渴望也罢，都不能代替劳动。
马辛杰	要明智些，扬之过高易落，屈尊方能求荣
民谚	书籍好比河流，使人四通八达
爱因斯坦	在真理和认识方面，任何以权威者自居的人，必将在上帝的戏笑中垮台！
康同璧	舍卫山河历劫尘，布金环殿三巡。若论女士西游者，我是支那第一人。
李卡	我们这一代就是施肥的一代，用自己的血灌溉快将实现的乐园，让后代享受人类应有的一切幸福，这就是我们一代的任务。
契诃夫	对自己不满足，是任何真正有天才的人的根本特征之一。
民谚	丁是丁，卯是卯
英国	有伟大理想的人，生活永远闪射着光芒
李大钊	本来善恶根源的不可解，就是宗教发生的一个原因。
《吕氏春秋》	凡事之本，必先治身。
民谚	事不关己，高高挂起。明知不对，少说为佳
意大利	人的天性在于探索真理
毕达哥拉斯	要这样生活；使你的朋友不致成为仇人，使你的仇人却成为朋友。
佚名	对父母养育之恩的报答，也是对人类劳动的尊重。
蒙田	我需要三件东西：爱情友谊和图书。然而这三者之间何其相通！炽热的爱情可以充实图书的内容，图书又是人们最忠实的朋友
《论语·阳货》	饱食终日，无所用心，难矣哉。
荀子	以治气养生，则后彭祖；以修身自名，则配尧舜。
朱熹	虚心顺理，学者当守此四字。
车尔尼雪夫斯基	爱情赐予万事万物的魅力，其实决不应该是人生中短暂现象，这一道绚烂的生命的光芒，不应该仅仅照耀着探求和渴慕时期，这个时期其实只应该相当于一天的黎明，黎明虽然可爱，美丽，但在接踵而至的白天，那光和热却比黎明时分更大得多。
爱默生	不是真正的豪杰就无法成为真正的演说家
肖伯纳	有机会出去的话人人都要离开监狱
洛克	热爱真理的确实特征，是对任何一个命题的接受绝不超过其证据所显示的程度
民谚	纵有千只手，难捂万人口
民谚	轻担担倒山，重担压死人
罗·伯顿	没有什么绳索能比爱情拧成的双股线更经拉，经拽
汉·王粲	人生各有志。
拉斯金	一个人专心于本身的时候，他充其量也只能成为一个美丽，小巧的包裹而已。
非洲	贤妻和健康是一个男子最宝贵的财
韩非	侈而惰者贫，而力而俭者富。
雨果	别人放手，他仍然坚持；别人后退，他仍然前冲；每次跌倒，立刻站起来--这种人一定没有失败。
阿巴巴耶娃	离别对于爱情，就像风对于火一样：它熄灭了火星，但却能煽起狂焰。
郭小川	但愿每次回忆，对生活都不感到负疚。
